"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TUBA1A",1.21526635987698e-05,-0.515707031237971,0.235,0.393,0.376210007027117
"GAS7",1.22788665199544e-05,-0.776707646136136,0.922,0.965,0.380116870858229
"HECW2",1.23495198989803e-05,0.656709723093658,0.399,0.237,0.382304087512733
"ANXA4",1.2487334326298e-05,0.489350103445367,0.582,0.387,0.386570408739206
"TMEM132C",1.2622010001642e-05,0.48712961317057,0.553,0.382,0.390739563620831
"ZRANB2",1.26794822017168e-05,0.545655276178528,0.521,0.393,0.392518730518546
"MAMDC2",1.27202779650895e-05,0.563533141402868,0.407,0.237,0.393781644965275
"PITPNA",1.30362085650879e-05,-0.4511797479512,0.269,0.445,0.403561908549425
"CRK",1.34988457223585e-05,-0.498852778732324,0.381,0.584,0.417883767027052
"FBN1",1.35136325810725e-05,-0.314026977791031,0.996,0.988,0.418341523812261
"AL136119.1",1.424116894362e-05,-0.595841309287739,0.157,0.301,0.440863866987645
"C2orf27A",1.42949979128443e-05,-0.531826886555311,0.292,0.462,0.442530250387922
"DNM1",1.44971410904876e-05,0.454596579986644,0.76,0.653,0.448787996738224
"OPTN",1.49486817701042e-05,0.503560607688194,0.416,0.254,0.462766341557114
"RHOT1",1.69674074116116e-05,0.601418778061278,0.409,0.254,0.525260031241261
"TPCN1",1.7142785735313e-05,0.597007580835475,0.45,0.295,0.530689218008085
"WDR86",1.78622681889978e-05,0.579078591884436,0.333,0.179,0.552962236326805
"CLIP4",1.78784032308186e-05,0.520017194753894,0.427,0.266,0.553461728816451
"SPTAN1",1.96611088134713e-05,-0.525963562776709,0.694,0.786,0.608648945538631
"H3F3B",1.99487174355507e-05,-0.470637830251872,0.237,0.393,0.617552445652344
"CTNNB1",2.00010794476426e-05,-0.571623768255932,0.418,0.578,0.619173416460672
"CREM",2.22931322620181e-05,-0.303041012735326,0.16,0.318,0.690128495435294
"ATXN7",2.24531452661061e-05,-0.45376647090022,0.372,0.543,0.695082018002846
"KLF13",2.29253786879924e-05,-0.500599936756037,0.244,0.405,0.70970094804418
"RFX2",2.32103125313644e-05,-0.722431678789059,0.358,0.509,0.718521645033447
"MIDN",2.46988237201697e-05,-0.404721401521469,0.205,0.37,0.764601485905293
"GNAL",2.5111502000066e-05,-0.33277604152864,0.155,0.301,0.777376767416042
"RHOA",2.59342955730162e-05,-0.501945912219766,0.496,0.659,0.802847988053862
"PRKG1",2.60249879005775e-05,0.327019422036933,0.868,0.792,0.805655550438176
"KIF5B",2.63079873952799e-05,-0.427553810851967,0.322,0.503,0.81441636579568
