"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"WAC.1","WAC",0.00016690798053831,1,-35.6784970843988,"3"
"DCP2.1","DCP2",0.000167418856949268,1,-2.73091230637224,"3"
"TTC27.3","TTC27",0.000168815788917069,1,-2.59912178837528,"3"
"CEP57.1","CEP57",0.000171703884101358,1,-3.81260517602784,"3"
"KRAS.1","KRAS",0.0001774069529425,1,-0.413716815524024,"3"
"NR3C1.2","NR3C1",0.000178487971941794,1,-44.8864244955704,"3"
"TM9SF2.1","TM9SF2",0.000181084106399472,1,-2.59715800367736,"3"
"SEM1.3","SEM1",0.000191729138858421,1,-22.3200340141407,"3"
"MCM9.1","MCM9",0.000193061024413303,1,-1.26450957080973,"3"
"CEPT1.2","CEPT1",0.000193087258607294,1,-29.4232418637676,"3"
"NBR1.2","NBR1",0.000193326749032875,1,0.469317170848036,"3"
"TGFBR1.2","TGFBR1",0.000193574715982602,1,-61.080335537363,"3"
"CASD1.1","CASD1",0.000194565039524678,1,-1.03305154905771,"3"
"EEA1.2","EEA1",0.000197134518079311,1,-16.0097034142706,"3"
"RTF1.3","RTF1",0.000199750602787767,1,0.475811079359241,"3"
"EFR3A.1","EFR3A",0.000203639629564869,1,-9.72484826879254,"3"
"PILRB.1","PILRB",0.000203649260233784,1,-1.8976142168906,"3"
"STRN3.3","STRN3",0.000203759645058876,1,-13.9307719113582,"3"
"TTC3.3","TTC3",0.000211722300191897,1,-15.1851883121833,"3"
"SUCO.1","SUCO",0.000218279070945988,1,-17.8188597313933,"3"
"WDPCP.2","WDPCP",0.000221416949246665,1,-44.0898034944995,"3"
"ZNF407","ZNF407",0.000229660284932115,1,-7.68326982654255,"3"
"POLR1D.3","POLR1D",0.000230115586430844,1,-1.43265793053493,"3"
"CDK12.3","CDK12",0.000236296323218623,1,-0.87491087244333,"3"
"CDK13.2","CDK13",0.000237843760653609,1,-13.6775242124548,"3"
"ZNF718.1","ZNF718",0.000243362009865814,1,-2.42786185479234,"3"
"NSUN6.1","NSUN6",0.000248530809130182,1,7.49916699926907,"3"
"ATXN2.3","ATXN2",0.000250623791857182,1,-14.936735480661,"3"
