"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC010096.1",0.00726269585619242,-0.0112871658435795,0.002,0.011,1
"GC",0.00726269585619242,-0.0133765041871485,0.002,0.011,1
"AC069503.1",0.00726269585619242,-0.0114727315327621,0.002,0.011,1
"MED11",0.00726409219566884,-0.00999774994861902,0.014,0.032,1
"AC024558.2",0.00727420208697539,0.102427745564415,0.075,0.122,1
"CAPN14",0.00727518052458371,-0.00983407287926681,0.002,0.011,1
"AC093627.5",0.00727518052458371,-0.0111391779402502,0.002,0.011,1
"RNF32",0.00727518052458371,-0.00885856866552254,0.002,0.011,1
"AL354989.1",0.00727518052458371,-0.00745051238687635,0.002,0.011,1
"CD320",0.00727573089520677,-0.0200831127553558,0.015,0.035,1
"PACRG",0.00728616192010366,0.0108104571447276,0.043,0.076,1
"AP000829.1",0.00728700469085349,-0.0194694959248137,0.014,0.032,1
"IL18RAP",0.00728768397510686,-0.00773079653711438,0.002,0.011,1
"AC114311.1",0.00728768444757728,-0.0109697684244853,0.002,0.011,1
"MAN1B1-DT",0.00728768444757728,-0.00987163820550381,0.002,0.011,1
"LINC02745",0.00728768444757728,-0.00498544303574196,0.002,0.011,1
"LOH12CR2",0.00728768444757728,-0.00749351064824464,0.002,0.011,1
"FBXL16",0.00728768444757728,-0.00892144213104591,0.002,0.011,1
"CEBPA-DT",0.00728768444757728,-0.00475391812119418,0.002,0.011,1
"HYOU1",0.00729746862263323,0.015980924690743,0.02,0.043,1
"AC018638.6",0.00730020765074013,-0.00428100712130223,0.002,0.011,1
"AC100803.4",0.00730020765074013,-0.00601892381708374,0.002,0.011,1
"AC079296.1",0.00730020765074013,-0.00646943470083147,0.002,0.011,1
"PAUPAR",0.00730020765074013,-0.00781679195011402,0.002,0.011,1
"ODF3L1",0.00730020765074013,-0.00593336801037606,0.002,0.011,1
"AC087501.4",0.00730020765074013,-0.00773898567679831,0.002,0.011,1
"U2AF1",0.00730225234919784,0.0182019763385625,0.02,0.043,1
"GNLY",0.00731275015966595,-0.00289874715327712,0.002,0.011,1
"AC034111.1",0.00731275015966595,-0.00363649848077351,0.002,0.011,1
"BRICD5",0.00731275015966595,-0.00374972988586665,0.002,0.011,1
"AL022328.4",0.00731275015966595,-0.00974228595300726,0.002,0.011,1
"LINC01560",0.00731275015966595,-0.0064606058202923,0.002,0.011,1
"SORBS2",0.00731403006688113,0.100424454521105,0.195,0.286,1
"CARNS1",0.00731651668248269,-0.0333843512025674,0.031,0.059,1
"AC073050.1",0.00731819343622338,-0.00365550987422124,0.017,0.038,1
"TXLNB",0.00732394894183522,-0.0485554601752656,0.009,0.024,1
"RGS1",0.00732531199997515,-0.00411038113343343,0.002,0.011,1
"AC009413.2",0.00732531199997515,-0.00695473708852978,0.002,0.011,1
"PARTICL",0.00732531199997515,-0.00114453658926019,0.002,0.011,1
"C4orf50",0.00732531199997515,-0.00452171244540027,0.002,0.011,1
"AP002075.1",0.00732531199997515,-0.00614612056078952,0.002,0.011,1
"FABP6",0.00732531199997515,-0.00376385077931258,0.002,0.011,1
"AC005071.1",0.00732531199997515,-0.00605991905808126,0.002,0.011,1
"TRBC2",0.00732531199997515,-0.00185298495925569,0.002,0.011,1
"AC012574.1",0.00732531199997515,-0.00473704232314999,0.002,0.011,1
"AC005871.2",0.00732531199997515,-0.0016535597072265,0.002,0.011,1
"MIR210HG",0.00732531199997515,0.000342938657859528,0.002,0.011,1
"AP000907.2",0.00732531199997515,-0.0033772148263736,0.002,0.011,1
"AC136944.1",0.00732531199997515,-0.00932884809446974,0.002,0.011,1
"LINC02141",0.00732531199997515,-0.00352819986950257,0.002,0.011,1
"AC018557.1",0.00732531199997515,-0.000585964408649204,0.002,0.011,1
"WFDC2",0.00732531199997515,-0.000713323560430697,0.002,0.011,1
"DNAL4",0.00732531199997515,0.00337025310742649,0.002,0.011,1
"POFUT2",0.00732734161327018,0.050879047280896,0.072,0.116,1
"GMFG",0.00736314343285282,0.00191937565140843,0.015,0.035,1
"LINC01877",0.00738646617454679,0.0216051060377409,0.012,0.03,1
"PCYOX1L",0.00740254274830676,0.00106317712079042,0.014,0.032,1
"SNHG6",0.00740550210607039,0.0690032143475568,0.038,0.07,1
"RPS10-NUDT3",0.00740749436356574,0.0170166534445271,0.019,0.041,1
"AC005899.5",0.00741915552088232,0.0737366735995719,0.036,0.068,1
"UNC93B1",0.00746535519069724,0.00159446059622369,0.017,0.038,1
"KCTD5",0.00747806350920202,0.0106260503908346,0.024,0.049,1
"AL034417.3",0.00748297633338457,0.0392753508670453,0.026,0.051,1
"AL355377.3",0.0074961534147265,0.0123497117403189,0.014,0.032,1
"NEMP2",0.0075036140455544,0.0185020430891869,0.029,0.057,1
"ETNK1",0.00752470021063678,0.219354068317521,0.336,0.519,1
"DNAJC15",0.00753617816029244,0.229631488796644,0.133,0.205,1
"AL355304.1",0.00756672081478178,0.000227535465382969,0.017,0.038,1
"UNC13D",0.00757591886410581,0.0553712744897775,0.031,0.059,1
"KMT2E",0.00757827396723693,0.400499870407836,0.609,0.759,1
"CIP2A",0.00758750383294991,0.0043631278618521,0.024,0.049,1
"U73166.1",0.00759898641345626,0.0194684478390572,0.017,0.038,1
"ATXN7L3",0.00761714896442883,-0.027662423619244,0.022,0.046,1
"C4orf3",0.0076228745812032,-0.0214041679635532,0.033,0.062,1
"AL445248.1",0.00764490698255057,0.0156739367212043,0.017,0.038,1
"AC005070.3",0.00765303658222853,0.00668254205821582,0.017,0.038,1
"EHD4",0.00766041360519611,0.093122906963483,0.05,0.086,1
"CAPN10-DT",0.00768018662860836,0.000181643023154078,0.009,0.024,1
"IDUA",0.00768302128533424,0.0317924176513922,0.026,0.051,1
"SEMA3F",0.00768746711669703,-0.00187558228330889,0.009,0.024,1
"IGLC2",0.00768746711669703,-0.0146656681407662,0.009,0.024,1
"THAP2",0.00769478258306628,0.0314086468932677,0.019,0.041,1
"TRADD",0.0076983778659104,0.0182048911189572,0.024,0.049,1
"C3orf38",0.00770060863512655,0.100103488376874,0.067,0.111,1
"SAYSD1",0.0077408943416785,0.0131956650503788,0.014,0.032,1
"NCOA7",0.00774162833871522,0.134976998591094,0.443,0.657,1
"SDR42E2",0.0077457131369001,0.0169129160074307,0.017,0.038,1
"RALB",0.00775244654165274,0.125113805171397,0.081,0.13,1
"BEAN1-AS1",0.00779004541998609,0.00615375645560564,0.009,0.024,1
"MMRN2",0.00779135241001933,0.0351732319582403,0.015,0.035,1
"AC079807.1",0.00779713246227999,0.0309015685018082,0.015,0.035,1
"LRRTM4",0.0078146996967736,0.00922405616947651,0.022,0.046,1
"THOC3",0.00781726066796459,0.0215476152045453,0.017,0.038,1
"AC109466.1",0.00781957483053704,0.00275252341021556,0.022,0.046,1
"LERFS",0.00781957790125893,0.00887814163978426,0.009,0.024,1
"RPL26L1",0.00784493622703249,0.0286710734997905,0.017,0.038,1
"GJA1",0.0078514121417957,0.0279930776858698,0.078,0.124,1
"CTBP1-DT",0.00787092200505833,0.0317086774296412,0.035,0.065,1
"MAP11",0.00787150118070412,0.0174565273037321,0.009,0.024,1
"CLU",0.00787844102888105,0.103145043804123,0.087,0.138,1
"AC093772.1",0.00791399417859599,0.567445341645161,0.181,0.143,1
"RAB28",0.00792021642526269,0.208853384673345,0.329,0.497,1
"CPLANE1",0.00796280239199917,0.126879022465234,0.434,0.659,1
"FBXW8",0.00798419719237865,0.251211477074167,0.229,0.351,1
"NEURL4",0.00798922713506755,0.0403776369210501,0.029,0.057,1
"VASH2",0.00799977363059397,0.0241784841405949,0.053,0.089,1
"ZNF780A",0.00801994621085761,0.0519416702990409,0.039,0.07,1
"EIF3J-DT",0.00807602329519489,0.0953589537708636,0.077,0.124,1
"CHCHD2",0.0081007743388942,0.0763914484197946,0.066,0.108,1
"AF130359.1",0.00810572502360301,0.199538394238224,0.045,0.016,1
"RNF220",0.0081228064385137,0.0530353829244933,0.048,0.084,1
"GATA4",0.00819931130681657,0.0257889414982236,0.051,0.086,1
"MAP9",0.00821852535777128,0.0183191910575416,0.022,0.046,1
"ACAP3",0.00825545738027259,0.065759601657989,0.116,0.176,1
"ZNF227",0.00830375728265566,0.111029903649242,0.056,0.095,1
"NFKB1",0.00831876063235749,0.255106133277129,0.308,0.478,1
"AHCY",0.00832622393571551,0.0312465897063852,0.022,0.046,1
"ZNF181",0.00832890598213149,0.0387716234899537,0.031,0.059,1
"ANO2",0.00833565890428062,0.0758064689586894,0.056,0.095,1
"HELLS",0.00834279642413714,0.0495641634431394,0.046,0.081,1
"MPDU1",0.00835205175311714,0.0201353017548423,0.022,0.046,1
"HCP5",0.00837324644559477,0.120387073724012,0.098,0.154,1
"SCIMP",0.00838313987640522,0.0330809504764908,0.022,0.046,1
"GIPR",0.00840268003907332,-0.0158943948169634,0.011,0.027,1
"TBCCD1",0.00840681647312983,0.0703131648408944,0.052,0.089,1
"AC245297.2",0.00840999163913421,-0.0122625192943384,0.011,0.027,1
"ITGA8",0.00841476561179849,0.326170722190755,0.066,0.032,1
"STK24",0.00848082336769396,0.2178918254695,0.366,0.546,1
"SSX2IP",0.00849612795315065,0.00919081263002634,0.021,0.043,1
"DDX39A",0.00849969616561555,0.0277553404460316,0.047,0.081,1
"CFAP43",0.00851255756753679,-0.00810169449367931,0.019,0.041,1
"AC027307.3",0.00851295531842033,-0.00753080056827737,0.011,0.027,1
"GPN3",0.00851502062060444,-0.012512315864518,0.024,0.049,1
"VILL",0.00852339613946208,0.0210558513180724,0.021,0.043,1
"IPMK",0.00855951673832938,0.185169496334414,0.127,0.195,1
"YBX3",0.00859848615984324,0.78517868999722,0.432,0.476,1
"MERTK",0.00862071715586506,0.0366920867590414,0.03,0.057,1
"HNRNPH3",0.00862970220651843,0.240005577507193,0.276,0.427,1
"AL358944.1",0.00863435327877786,-0.0258421099509106,0.008,0.022,1
"AC027031.2",0.00865177395369863,-0.02048788238198,0.008,0.022,1
"GSK3B",0.008652053339445,0.0379569631694745,0.542,0.781,1
"MRM3",0.00865469407358182,-0.0355374852895141,0.012,0.03,1
"SRSF8",0.0086554412167598,-0.00811456055038166,0.019,0.041,1
"TSPAN12",0.00865916255569464,-0.0346778218357598,0.014,0.032,1
"QSER1",0.00867243968516732,0.250540621541431,0.243,0.368,1
"WDR83OS",0.00869005065149621,0.000917538162414563,0.019,0.041,1
"NNMT",0.00869812272506664,0.619574451410929,0.449,0.522,1
"KYNU",0.00872209668740663,0.0456909869090423,0.033,0.062,1
"DYRK4",0.00873934943359681,-0.0109344444949642,0.008,0.022,1
"HOXC4",0.00873934943359681,-0.0158192765974846,0.008,0.022,1
"TDRD12",0.00873934943359681,-0.00880249316947984,0.008,0.022,1
"SSRP1",0.0087556154104352,0.00243974204099337,0.032,0.059,1
"SLC4A7",0.00877873168117706,0.279706244152969,0.273,0.411,1
"PDIA4",0.00880040885013374,0.00294907618748,0.037,0.068,1
"OCEL1",0.00880112272757546,-0.00380024726448529,0.008,0.022,1
"MAD2L2",0.00882771620816807,-0.00389722718387658,0.008,0.022,1
"MAPK7",0.00882771620816807,-0.00237602109284259,0.008,0.022,1
"FBXL14",0.00882937133476892,0.0430982497499193,0.022,0.046,1
"ACTR3",0.00883010875032392,0.182001196348447,0.272,0.414,1
"ZNF415",0.00883999930057089,-0.0139487474646707,0.016,0.035,1
"MAZ",0.00884115218369673,0.036008130701991,0.026,0.051,1
